Round 0,,,,,,,,,,
30,1850.439637,,,,,,,,,
60,1440.173158,,,,,,,,,
90,1069.425381,,,,,,,,,
120,945.0179512,,,,,,,,,
150,822.3507594,,,,,,,,,
180,903.6715376,,,,,,,,,
210,895.574351,,,,,,,,,
240,748.9866521,,,,,,,,,
270,646.9532064,,,,,,,,,
300,665.6766681,,,,,,,,,
330,821.7442573,,,,,,,,,
360,648.8473223,,,,,,,,,
390,738.330144,,,,,,,,,
420,787.7776179,,,,,,,,,
450,907.3319872,,,,,,,,,
480,922.4120145,,,,,,,,,
binary_GA_uniform_CO:,,,,,,,,,,
325.2484441,,,,,,,,,,
427,408,439,417,437,455,408,-294,390,392, 
time spent,18.8764925,,,,,,,,,
,,,,,,,,,,
30,1633.699316,,,,,,,,,
60,1378.842228,,,,,,,,,
90,1262.267817,,,,,,,,,
120,1113.078528,,,,,,,,,
150,1065.518555,,,,,,,,,
180,780.3473795,,,,,,,,,
210,796.3270025,,,,,,,,,
240,1071.706834,,,,,,,,,
270,984.7636442,,,,,,,,,
300,1026.849836,,,,,,,,,
330,706.8285609,,,,,,,,,
360,635.6757921,,,,,,,,,
390,817.5600169,,,,,,,,,
420,906.4174187,,,,,,,,,
450,567.511406,,,,,,,,,
480,411.0144582,,,,,,,,,
binary_GA_2point_CO:,,,,,,,,,,
293.1579028,,,,,,,,,,
406,386,416,417,420,424,385,-296,402,413, 
time spent,19.15401793,,,,,,,,,
,,,,,,,,,,
30,1247.976431,,,,,,,,,
60,278.7846407,,,,,,,,,
90,135.8031674,,,,,,,,,
120,78.83354211,,,,,,,,,
150,49.653887,,,,,,,,,
180,38.91660968,,,,,,,,,
210,18.73186719,,,,,,,,,
240,13.68636258,,,,,,,,,
270,11.0164779,,,,,,,,,
300,7.476395878,,,,,,,,,
330,7.246098579,,,,,,,,,
360,6.897875896,,,,,,,,,
390,6.897456944,,,,,,,,,
420,6.40666018,,,,,,,,,
450,5.990866274,,,,,,,,,
480,4.960578374,,,,,,,,,
real_GA_uniform_CO:,,,,,,,,,,
3.126974027,,,,,,,,,,
420.3920401,419.8132247,422.0774238,421.3673663,418.8974833,422.5697654,420.6600714,419.7395193,419.326563,417.7141726, 
time spent,7.455869913,,,,,,,,,
,,,,,,,,,,
30,1555.690672,,,,,,,,,
60,828.3602242,,,,,,,,,
90,408.1516077,,,,,,,,,
120,241.4092306,,,,,,,,,
150,102.9514864,,,,,,,,,
180,22.80384483,,,,,,,,,
210,5.092842068,,,,,,,,,
240,4.319886745,,,,,,,,,
270,3.473592833,,,,,,,,,
300,2.847012966,,,,,,,,,
330,1.936554614,,,,,,,,,
360,1.670476123,,,,,,,,,
390,1.59375315,,,,,,,,,
420,1.06502362,,,,,,,,,
450,1.011590722,,,,,,,,,
480,0.615794117,,,,,,,,,
real_GA_whole_arithmetic_CO:,,,,,,,,,,
0.245797625,,,,,,,,,,
420.9135787,421.2924479,421.4667402,419.9975168,420.8881556,421.0915727,421.5243399,421.3869771,421.0722022,420.6062401, 
time spent,7.866575718,,,,,,,,,
,,,,,,,,,,
Round 1,,,,,,,,,,
30,1789.665734,,,,,,,,,
60,1221.90999,,,,,,,,,
90,902.4793919,,,,,,,,,
120,591.0272914,,,,,,,,,
150,646.1832935,,,,,,,,,
180,765.2059029,,,,,,,,,
210,782.116696,,,,,,,,,
240,964.4684031,,,,,,,,,
270,865.7095375,,,,,,,,,
300,839.5536166,,,,,,,,,
330,868.1201781,,,,,,,,,
360,963.9722047,,,,,,,,,
390,931.1021692,,,,,,,,,
420,1050.379076,,,,,,,,,
450,1228.636538,,,,,,,,,
480,983.6553884,,,,,,,,,
binary_GA_uniform_CO:,,,,,,,,,,
286.5312378,,,,,,,,,,
-131,425,-275,414,405,430,403,393,443,439, 
time spent,19.60266423,,,,,,,,,
,,,,,,,,,,
30,1809.665257,,,,,,,,,
60,945.870371,,,,,,,,,
90,660.6457335,,,,,,,,,
120,792.2174888,,,,,,,,,
150,717.1852615,,,,,,,,,
180,606.8680578,,,,,,,,,
210,549.4014154,,,,,,,,,
240,673.4129409,,,,,,,,,
270,630.0905811,,,,,,,,,
300,654.2936127,,,,,,,,,
330,543.1136679,,,,,,,,,
360,424.8617822,,,,,,,,,
390,671.6039124,,,,,,,,,
420,704.305085,,,,,,,,,
450,649.5742339,,,,,,,,,
480,561.8751118,,,,,,,,,
binary_GA_2point_CO:,,,,,,,,,,
289.1580062,,,,,,,,,,
414,402,445,412,460,417,430,-507,426,409, 
time spent,16.66195965,,,,,,,,,
,,,,,,,,,,
30,1298.734328,,,,,,,,,
60,435.0741256,,,,,,,,,
90,161.7803,,,,,,,,,
120,81.4514637,,,,,,,,,
150,52.00586141,,,,,,,,,
180,37.01960966,,,,,,,,,
210,18.29400121,,,,,,,,,
240,16.9960654,,,,,,,,,
270,8.450650262,,,,,,,,,
300,6.451020493,,,,,,,,,
330,6.43370006,,,,,,,,,
360,5.421914752,,,,,,,,,
390,3.877199371,,,,,,,,,
420,3.397448125,,,,,,,,,
450,2.905694138,,,,,,,,,
